index,gold_23
646,1307.232367
647,1301.031515
648,1299.328754
649,1296.540882
650,1295.250791
651,1293.963443
652,1272.715131
653,1275.768853
654,1275.271944
655,1276.432264
656,1279.254564
657,1276.055928
658,1278.018659
659,1272.530417
660,1272.906529
661,1266.261177
662,1263.570371
663,1263.395964
664,1268.363421
665,1261.686415
666,1261.896824
667,1259.541908
668,1257.698269
669,1258.051067
670,1259.383682
671,1255.554633
672,1257.627985
673,1254.535819
674,1256.998238
675,1233.245727
676,1235.629571
677,1235.44911
678,1232.403901
679,1233.614244
680,1234.323086
681,1232.790526
682,1234.415891
683,1235.131701
684,1236.165815
685,1234.962535
686,1236.534741
687,1235.246075
688,1233.101955
689,1237.458048
690,1239.158973
691,1239.775648
692,1239.085968
693,1239.059582
694,1238.054916
695,1236.193274
696,1239.128175
697,1238.596546
698,1216.131485
699,1212.510976
700,1210.136083
701,1209.371667
702,1208.234208
703,1209.015973
704,1207.135311
705,1205.436631
706,1202.189266
707,1200.694114
708,1202.487993
709,1203.386756
710,1198.441736
711,1196.185206
712,1197.312965
713,1199.0717
714,1196.931921
715,1195.227645
716,1194.323793
717,1194.140103
718,1195.636154
719,1193.884024
720,1189.108851
721,1198.655095
722,1194.799504
723,1195.933647
724,1198.105239
725,1201.499032
